id,donor_id,seq_type,bam
PD66718_pta0178_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0178_dnahyb_run51611.bam
PD66718_pta0179_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0179_dnahyb_run51611.bam
PD66718_pta0180_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0180_dnahyb_run51611.bam
PD66718_pta0181_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0181_dnahyb_run51611.bam
PD66718_pta0182_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0182_dnahyb_run51611.bam
PD66718_pta0183_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0183_dnahyb_run51611.bam
PD66718_pta0184_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0184_dnahyb_run51611.bam
PD66718_pta0186_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0186_dnahyb_run51611.bam
plate10_wellA10_dna_run50382,PD63118,dna,plate10_wellA10_dna_run50382.bam
plate10_wellA10_dnahyb_run50227,PD63118,dnahyb,plate10_wellA10_dnahyb_run50227.bam
plate10_wellA10_rna_run50227,PD63118,rna,plate10_wellA10_rna_run50227.bam
plate10_wellA11_dna_run50382,PD63118,dna,plate10_wellA11_dna_run50382.bam
plate10_wellA11_dnahyb_run50227,PD63118,dnahyb,plate10_wellA11_dnahyb_run50227.bam
plate10_wellA11_rna_run50227,PD63118,rna,plate10_wellA11_rna_run50227.bam
plate10_wellA12_dna_run50382,PD63118,dna,plate10_wellA12_dna_run50382.bam
plate10_wellA12_dnahyb_run50227,PD63118,dnahyb,plate10_wellA12_dnahyb_run50227.bam
plate10_wellA12_rna_run50227,PD63118,rna,plate10_wellA12_rna_run50227.bam
plate10_wellA2_dna_run50382,PD63118,dna,plate10_wellA2_dna_run50382.bam
plate10_wellA2_dnahyb_run50227,PD63118,dnahyb,plate10_wellA2_dnahyb_run50227.bam
plate10_wellA2_rna_run50227,PD63118,rna,plate10_wellA2_rna_run50227.bam
plate10_wellA3_dnahyb_run50227,PD63118,dnahyb,plate10_wellA3_dnahyb_run50227.bam
plate10_wellA3_rna_run50227,PD63118,rna,plate10_wellA3_rna_run50227.bam
plate10_wellA4_dna_run50382,PD63118,dna,plate10_wellA4_dna_run50382.bam
plate10_wellA4_dnahyb_run50227,PD63118,dnahyb,plate10_wellA4_dnahyb_run50227.bam
plate10_wellA4_rna_run50227,PD63118,rna,plate10_wellA4_rna_run50227.bam
plate10_wellA6_dnahyb_run50227,PD63118,dnahyb,plate10_wellA6_dnahyb_run50227.bam
plate10_wellA6_rna_run50227,PD63118,rna,plate10_wellA6_rna_run50227.bam
plate10_wellA7_dna_run50382,PD63118,dna,plate10_wellA7_dna_run50382.bam
plate10_wellA7_dnahyb_run50227,PD63118,dnahyb,plate10_wellA7_dnahyb_run50227.bam
plate10_wellA7_rna_run50227,PD63118,rna,plate10_wellA7_rna_run50227.bam
plate10_wellA8_dna_run50382,PD63118,dna,plate10_wellA8_dna_run50382.bam
plate10_wellA8_dnahyb_run50227,PD63118,dnahyb,plate10_wellA8_dnahyb_run50227.bam
plate10_wellA8_rna_run50227,PD63118,rna,plate10_wellA8_rna_run50227.bam
plate10_wellA9_dna_run50382,PD63118,dna,plate10_wellA9_dna_run50382.bam
plate10_wellA9_dnahyb_run50227,PD63118,dnahyb,plate10_wellA9_dnahyb_run50227.bam
plate10_wellA9_rna_run50227,PD63118,rna,plate10_wellA9_rna_run50227.bam
plate10_wellB10_dna_run50382,PD63118,dna,plate10_wellB10_dna_run50382.bam
plate10_wellB10_dnahyb_run50227,PD63118,dnahyb,plate10_wellB10_dnahyb_run50227.bam
plate10_wellB10_rna_run50227,PD63118,rna,plate10_wellB10_rna_run50227.bam
plate10_wellB11_dna_run50382,PD63118,dna,plate10_wellB11_dna_run50382.bam
plate10_wellB11_dnahyb_run50227,PD63118,dnahyb,plate10_wellB11_dnahyb_run50227.bam
plate10_wellB11_rna_run50227,PD63118,rna,plate10_wellB11_rna_run50227.bam
plate10_wellB12_dnahyb_run50227,PD63118,dnahyb,plate10_wellB12_dnahyb_run50227.bam
plate10_wellB12_rna_run50227,PD63118,rna,plate10_wellB12_rna_run50227.bam
plate10_wellB2_dnahyb_run50227,PD63118,dnahyb,plate10_wellB2_dnahyb_run50227.bam
plate10_wellB2_rna_run50227,PD63118,rna,plate10_wellB2_rna_run50227.bam
plate10_wellB3_dnahyb_run50227,PD63118,dnahyb,plate10_wellB3_dnahyb_run50227.bam
plate10_wellB3_rna_run50227,PD63118,rna,plate10_wellB3_rna_run50227.bam
plate10_wellB6_dna_run50382,PD63118,dna,plate10_wellB6_dna_run50382.bam
plate10_wellB6_dnahyb_run50227,PD63118,dnahyb,plate10_wellB6_dnahyb_run50227.bam
plate10_wellB6_rna_run50227,PD63118,rna,plate10_wellB6_rna_run50227.bam
plate10_wellB7_dnahyb_run50227,PD63118,dnahyb,plate10_wellB7_dnahyb_run50227.bam
plate10_wellB7_rna_run50227,PD63118,rna,plate10_wellB7_rna_run50227.bam
plate10_wellB8_dnahyb_run50227,PD63118,dnahyb,plate10_wellB8_dnahyb_run50227.bam
plate10_wellB8_rna_run50227,PD63118,rna,plate10_wellB8_rna_run50227.bam
plate10_wellB9_dna_run50382,PD63118,dna,plate10_wellB9_dna_run50382.bam
plate10_wellB9_dnahyb_run50227,PD63118,dnahyb,plate10_wellB9_dnahyb_run50227.bam
plate10_wellB9_rna_run50227,PD63118,rna,plate10_wellB9_rna_run50227.bam
plate10_wellC10_dnahyb_run50227,PD63118,dnahyb,plate10_wellC10_dnahyb_run50227.bam
plate10_wellC10_rna_run50227,PD63118,rna,plate10_wellC10_rna_run50227.bam
plate10_wellC11_dnahyb_run50227,PD63118,dnahyb,plate10_wellC11_dnahyb_run50227.bam
plate10_wellC11_rna_run50227,PD63118,rna,plate10_wellC11_rna_run50227.bam
plate10_wellC12_dna_run50382,PD63118,dna,plate10_wellC12_dna_run50382.bam
plate10_wellC12_dnahyb_run50227,PD63118,dnahyb,plate10_wellC12_dnahyb_run50227.bam
plate10_wellC12_rna_run50227,PD63118,rna,plate10_wellC12_rna_run50227.bam
plate10_wellC2_dnahyb_run50227,PD63118,dnahyb,plate10_wellC2_dnahyb_run50227.bam
plate10_wellC2_rna_run50227,PD63118,rna,plate10_wellC2_rna_run50227.bam
plate10_wellC3_dna_run50382,PD63118,dna,plate10_wellC3_dna_run50382.bam
plate10_wellC3_dnahyb_run50227,PD63118,dnahyb,plate10_wellC3_dnahyb_run50227.bam
plate10_wellC3_rna_run50227,PD63118,rna,plate10_wellC3_rna_run50227.bam
plate10_wellC5_dnahyb_run50227,PD63118,dnahyb,plate10_wellC5_dnahyb_run50227.bam
plate10_wellC5_rna_run50227,PD63118,rna,plate10_wellC5_rna_run50227.bam
plate10_wellC6_dna_run50382,PD63118,dna,plate10_wellC6_dna_run50382.bam
plate10_wellC6_dnahyb_run50227,PD63118,dnahyb,plate10_wellC6_dnahyb_run50227.bam
plate10_wellC6_rna_run50227,PD63118,rna,plate10_wellC6_rna_run50227.bam
plate10_wellC7_dna_run50382,PD63118,dna,plate10_wellC7_dna_run50382.bam
plate10_wellC7_dnahyb_run50227,PD63118,dnahyb,plate10_wellC7_dnahyb_run50227.bam
plate10_wellC7_rna_run50227,PD63118,rna,plate10_wellC7_rna_run50227.bam
plate10_wellC8_dna_run50382,PD63118,dna,plate10_wellC8_dna_run50382.bam
plate10_wellC8_dnahyb_run50227,PD63118,dnahyb,plate10_wellC8_dnahyb_run50227.bam
plate10_wellC8_rna_run50227,PD63118,rna,plate10_wellC8_rna_run50227.bam
plate10_wellC9_dna_run50382,PD63118,dna,plate10_wellC9_dna_run50382.bam
plate10_wellC9_dnahyb_run50227,PD63118,dnahyb,plate10_wellC9_dnahyb_run50227.bam
plate10_wellC9_rna_run50227,PD63118,rna,plate10_wellC9_rna_run50227.bam
plate10_wellD10_dnahyb_run50227,PD63118,dnahyb,plate10_wellD10_dnahyb_run50227.bam
plate10_wellD10_rna_run50227,PD63118,rna,plate10_wellD10_rna_run50227.bam
plate10_wellD11_dnahyb_run50227,PD63118,dnahyb,plate10_wellD11_dnahyb_run50227.bam
plate10_wellD11_rna_run50227,PD63118,rna,plate10_wellD11_rna_run50227.bam
plate10_wellD12_dnahyb_run50227,PD63118,dnahyb,plate10_wellD12_dnahyb_run50227.bam
plate10_wellD12_rna_run50227,PD63118,rna,plate10_wellD12_rna_run50227.bam
plate10_wellD2_dna_run50382,PD63118,dna,plate10_wellD2_dna_run50382.bam
plate10_wellD2_dnahyb_run50227,PD63118,dnahyb,plate10_wellD2_dnahyb_run50227.bam
plate10_wellD2_rna_run50227,PD63118,rna,plate10_wellD2_rna_run50227.bam
plate10_wellD3_dna_run50382,PD63118,dna,plate10_wellD3_dna_run50382.bam
plate10_wellD3_dnahyb_run50227,PD63118,dnahyb,plate10_wellD3_dnahyb_run50227.bam
plate10_wellD3_rna_run50227,PD63118,rna,plate10_wellD3_rna_run50227.bam
plate10_wellD4_dnahyb_run50227,PD63118,dnahyb,plate10_wellD4_dnahyb_run50227.bam
plate10_wellD4_rna_run50227,PD63118,rna,plate10_wellD4_rna_run50227.bam
plate10_wellD5_dnahyb_run50227,PD63118,dnahyb,plate10_wellD5_dnahyb_run50227.bam
plate10_wellD5_rna_run50227,PD63118,rna,plate10_wellD5_rna_run50227.bam
plate10_wellD6_dna_run50382,PD63118,dna,plate10_wellD6_dna_run50382.bam
plate10_wellD6_dnahyb_run50227,PD63118,dnahyb,plate10_wellD6_dnahyb_run50227.bam
plate10_wellD6_rna_run50227,PD63118,rna,plate10_wellD6_rna_run50227.bam
plate10_wellD7_dna_run50382,PD63118,dna,plate10_wellD7_dna_run50382.bam
plate10_wellD7_dnahyb_run50227,PD63118,dnahyb,plate10_wellD7_dnahyb_run50227.bam
plate10_wellD7_rna_run50227,PD63118,rna,plate10_wellD7_rna_run50227.bam
plate10_wellD9_dna_run50382,PD63118,dna,plate10_wellD9_dna_run50382.bam
plate10_wellD9_dnahyb_run50227,PD63118,dnahyb,plate10_wellD9_dnahyb_run50227.bam
plate10_wellD9_rna_run50227,PD63118,rna,plate10_wellD9_rna_run50227.bam
plate10_wellE10_dna_run50382,PD63118,dna,plate10_wellE10_dna_run50382.bam
plate10_wellE10_dnahyb_run50227,PD63118,dnahyb,plate10_wellE10_dnahyb_run50227.bam
plate10_wellE10_rna_run50227,PD63118,rna,plate10_wellE10_rna_run50227.bam
plate10_wellE12_dnahyb_run50227,PD63118,dnahyb,plate10_wellE12_dnahyb_run50227.bam
plate10_wellE12_rna_run50227,PD63118,rna,plate10_wellE12_rna_run50227.bam
plate10_wellE2_dnahyb_run50227,PD63118,dnahyb,plate10_wellE2_dnahyb_run50227.bam
plate10_wellE2_rna_run50227,PD63118,rna,plate10_wellE2_rna_run50227.bam
plate10_wellE4_dna_run50382,PD63118,dna,plate10_wellE4_dna_run50382.bam
plate10_wellE4_dnahyb_run50227,PD63118,dnahyb,plate10_wellE4_dnahyb_run50227.bam
plate10_wellE4_rna_run50227,PD63118,rna,plate10_wellE4_rna_run50227.bam
plate10_wellE5_dnahyb_run50227,PD63118,dnahyb,plate10_wellE5_dnahyb_run50227.bam
plate10_wellE5_rna_run50227,PD63118,rna,plate10_wellE5_rna_run50227.bam
plate10_wellE6_dna_run50382,PD63118,dna,plate10_wellE6_dna_run50382.bam
plate10_wellE6_dnahyb_run50227,PD63118,dnahyb,plate10_wellE6_dnahyb_run50227.bam
plate10_wellE6_rna_run50227,PD63118,rna,plate10_wellE6_rna_run50227.bam
plate10_wellE7_dna_run50382,PD63118,dna,plate10_wellE7_dna_run50382.bam
plate10_wellE7_dnahyb_run50227,PD63118,dnahyb,plate10_wellE7_dnahyb_run50227.bam
plate10_wellE7_rna_run50227,PD63118,rna,plate10_wellE7_rna_run50227.bam
plate10_wellE8_dna_run50382,PD63118,dna,plate10_wellE8_dna_run50382.bam
plate10_wellE8_dnahyb_run50227,PD63118,dnahyb,plate10_wellE8_dnahyb_run50227.bam
plate10_wellE8_rna_run50227,PD63118,rna,plate10_wellE8_rna_run50227.bam
plate10_wellF10_dnahyb_run50227,PD63118,dnahyb,plate10_wellF10_dnahyb_run50227.bam
plate10_wellF10_rna_run50227,PD63118,rna,plate10_wellF10_rna_run50227.bam
plate10_wellF11_dnahyb_run50227,PD63118,dnahyb,plate10_wellF11_dnahyb_run50227.bam
plate10_wellF11_rna_run50227,PD63118,rna,plate10_wellF11_rna_run50227.bam
plate10_wellF12_dna_run50382,PD63118,dna,plate10_wellF12_dna_run50382.bam
plate10_wellF12_dnahyb_run50227,PD63118,dnahyb,plate10_wellF12_dnahyb_run50227.bam
plate10_wellF12_rna_run50227,PD63118,rna,plate10_wellF12_rna_run50227.bam
plate10_wellF2_dna_run50382,PD63118,dna,plate10_wellF2_dna_run50382.bam
plate10_wellF2_dnahyb_run50227,PD63118,dnahyb,plate10_wellF2_dnahyb_run50227.bam
plate10_wellF2_rna_run50227,PD63118,rna,plate10_wellF2_rna_run50227.bam
plate10_wellF3_dna_run50382,PD63118,dna,plate10_wellF3_dna_run50382.bam
plate10_wellF3_dnahyb_run50227,PD63118,dnahyb,plate10_wellF3_dnahyb_run50227.bam
plate10_wellF3_rna_run50227,PD63118,rna,plate10_wellF3_rna_run50227.bam
plate10_wellF4_dnahyb_run50227,PD63118,dnahyb,plate10_wellF4_dnahyb_run50227.bam
plate10_wellF4_rna_run50227,PD63118,rna,plate10_wellF4_rna_run50227.bam
plate10_wellF5_dna_run50382,PD63118,dna,plate10_wellF5_dna_run50382.bam
plate10_wellF5_dnahyb_run50227,PD63118,dnahyb,plate10_wellF5_dnahyb_run50227.bam
plate10_wellF5_rna_run50227,PD63118,rna,plate10_wellF5_rna_run50227.bam
plate10_wellF6_dna_run50382,PD63118,dna,plate10_wellF6_dna_run50382.bam
plate10_wellF6_dnahyb_run50227,PD63118,dnahyb,plate10_wellF6_dnahyb_run50227.bam
plate10_wellF6_rna_run50227,PD63118,rna,plate10_wellF6_rna_run50227.bam
plate10_wellF7_dna_run50382,PD63118,dna,plate10_wellF7_dna_run50382.bam
plate10_wellF7_dnahyb_run50227,PD63118,dnahyb,plate10_wellF7_dnahyb_run50227.bam
plate10_wellF7_rna_run50227,PD63118,rna,plate10_wellF7_rna_run50227.bam
plate10_wellF8_dna_run50382,PD63118,dna,plate10_wellF8_dna_run50382.bam
plate10_wellF8_dnahyb_run50227,PD63118,dnahyb,plate10_wellF8_dnahyb_run50227.bam
plate10_wellF8_rna_run50227,PD63118,rna,plate10_wellF8_rna_run50227.bam
plate10_wellF9_dna_run50382,PD63118,dna,plate10_wellF9_dna_run50382.bam
plate10_wellF9_dnahyb_run50227,PD63118,dnahyb,plate10_wellF9_dnahyb_run50227.bam
plate10_wellF9_rna_run50227,PD63118,rna,plate10_wellF9_rna_run50227.bam
plate10_wellG10_dna_run50382,PD63118,dna,plate10_wellG10_dna_run50382.bam
plate10_wellG10_dnahyb_run50227,PD63118,dnahyb,plate10_wellG10_dnahyb_run50227.bam
plate10_wellG10_rna_run50227,PD63118,rna,plate10_wellG10_rna_run50227.bam
plate10_wellG11_dnahyb_run50227,PD63118,dnahyb,plate10_wellG11_dnahyb_run50227.bam
plate10_wellG11_rna_run50227,PD63118,rna,plate10_wellG11_rna_run50227.bam
plate10_wellG12_dna_run50382,PD63118,dna,plate10_wellG12_dna_run50382.bam
plate10_wellG12_dnahyb_run50227,PD63118,dnahyb,plate10_wellG12_dnahyb_run50227.bam
plate10_wellG12_rna_run50227,PD63118,rna,plate10_wellG12_rna_run50227.bam
plate10_wellG2_dna_run50382,PD63118,dna,plate10_wellG2_dna_run50382.bam
plate10_wellG2_dnahyb_run50227,PD63118,dnahyb,plate10_wellG2_dnahyb_run50227.bam
plate10_wellG2_rna_run50227,PD63118,rna,plate10_wellG2_rna_run50227.bam
plate10_wellG3_dna_run50382,PD63118,dna,plate10_wellG3_dna_run50382.bam
plate10_wellG3_dnahyb_run50227,PD63118,dnahyb,plate10_wellG3_dnahyb_run50227.bam
plate10_wellG3_rna_run50227,PD63118,rna,plate10_wellG3_rna_run50227.bam
plate10_wellG4_dna_run50382,PD63118,dna,plate10_wellG4_dna_run50382.bam
plate10_wellG4_dnahyb_run50227,PD63118,dnahyb,plate10_wellG4_dnahyb_run50227.bam
plate10_wellG4_rna_run50227,PD63118,rna,plate10_wellG4_rna_run50227.bam
plate10_wellG5_dnahyb_run50227,PD63118,dnahyb,plate10_wellG5_dnahyb_run50227.bam
plate10_wellG5_rna_run50227,PD63118,rna,plate10_wellG5_rna_run50227.bam
plate10_wellG8_dnahyb_run50227,PD63118,dnahyb,plate10_wellG8_dnahyb_run50227.bam
plate10_wellG8_rna_run50227,PD63118,rna,plate10_wellG8_rna_run50227.bam
plate10_wellG9_dna_run50382,PD63118,dna,plate10_wellG9_dna_run50382.bam
plate10_wellG9_dnahyb_run50227,PD63118,dnahyb,plate10_wellG9_dnahyb_run50227.bam
plate10_wellG9_rna_run50227,PD63118,rna,plate10_wellG9_rna_run50227.bam
plate10_wellH10_dna_run50382,PD63118,dna,plate10_wellH10_dna_run50382.bam
plate10_wellH10_dnahyb_run50227,PD63118,dnahyb,plate10_wellH10_dnahyb_run50227.bam
